Variable Name,Value,Type,Description
,,,
#Boss Pattern 1-Alpha Variables,,,
Boss Pattern 1-Alpha Initial Lag,7,float,Initial lag duration (seconds)
Boss Pattern 1-Alpha Minimum Initial Lag,1,float,Minimum initial lag duration (seconds)
Boss Pattern 1-Alpha Approach Speed,10,float,Boss approach speed towards the player
Boss Pattern 1-Alpha Approach Acceleration,50,float,Boss approach speed acceleration
Boss Pattern 1-Alpha Approach Distance,7,float,Boss minimum approach distance before firing
Boss Pattern 1-Alpha Spread Angle,120,float,Angle within which the bullets will be fired (degrees)
Boss Pattern 1-Alpha Bullet Count,11,int,How many bullets within the cone range
Boss Pattern 1-Alpha Invincible Bullet Count,5,int,How many indestructible bullets within the cone range
Boss Pattern 1-Alpha Fire Time,0.15,float,Within how many seconds the pattern will complete
Boss Pattern 1-Alpha Repeat Count,3,int,How many times this pattern will repeat
Boss Pattern 1-Alpha Ending Lag,1.5,float,Ending lag duration (seconds)
,,,
#Boss Pattern 1-Alpha Bullet Stats,,,
Boss 1-Alpha Bullet Damage,10,float,Base damage of the bullet
Boss 1-Alpha Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 1-Alpha Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 1-Alpha Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 1-Alpha Bullet Is Invincible,FALSE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 1-Alpha Bullet Initial Speed,7,float,Initial Speed of boss's bullet
Boss 1-Alpha Bullet Acceleration,5,float,Acceleration rate of the bullet
Boss 1-Alpha Bullet Maximum Speed,15,float,Maximum speed of boss's bullet
Boss 1-Alpha Bullet Lifespan,3,float,How long the bullet will be active (seconds)
,,,
#Boss Pattern 1-Alpha Invincible Bullet Stats,,,
Boss 1-Alpha Invincible Bullet Damage,10,float,Base damage of the bullet
Boss 1-Alpha Invincible Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 1-Alpha Invincible Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 1-Alpha Invincible Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 1-Alpha Invincible Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
