Variable Name,Value,Type,Description
,,,
#Boss Pattern 2-Alpha Variables,,,
Boss Pattern 2-Alpha Initial Lag,7,float,Initial lag duration (seconds)
Boss Pattern 2-Alpha Minimum Initial Lag,1,float,Minimum initial lag duration (seconds)
Boss Pattern 2-Alpha Approach Speed,10,float,Boss approach speed towards the player
Boss Pattern 2-Alpha Approach Acceleration,50,float,Boss approach speed acceleration
Boss Pattern 2-Alpha Approach Distance,7,float,Boss minimum approach distance before firing
Boss Pattern 2-Alpha Spread Angle,120,float,Angle within which the bullets will be fired (degrees)
Boss Pattern 2-Alpha Bullet Count,11,int,How many bullets within the cone range
Boss Pattern 2-Alpha Invincible Bullet Count,5,int,How many indestructible bullets within the cone range
Boss Pattern 2-Alpha Fire Time,0.15,float,Within how many seconds the pattern will complete
Boss Pattern 2-Alpha Repeat Count,3,int,How many times this pattern will repeat
Boss Pattern 2-Alpha Ending Lag,1.5,float,Ending lag duration (seconds)
,,,
#Boss Pattern 2-Alpha Bullet Stats,,,
Boss 2-Alpha Bullet Damage,10,float,Base damage of the bullet
Boss 2-Alpha Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 2-Alpha Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 2-Alpha Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 2-Alpha Bullet Is Invincible,FALSE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 2-Alpha Bullet Initial Speed,7,float,Initial Speed of boss's bullet
Boss 2-Alpha Bullet Acceleration,5,float,Acceleration rate of the bullet
Boss 2-Alpha Bullet Maximum Speed,15,float,Maximum speed of boss's bullet
Boss 2-Alpha Bullet Lifespan,3,float,How long the bullet will be active (seconds)
,,,
#Boss Pattern 2-Alpha Invincible Bullet Stats,,,
Boss 2-Alpha Invincible Bullet Damage,10,float,Base damage of the bullet
Boss 2-Alpha Invincible Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 2-Alpha Invincible Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 2-Alpha Invincible Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 2-Alpha Invincible Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 2-Alpha Invincible Bullet Initial Speed,5,float,Initial Speed of boss's bullet
Boss 2-Alpha Invincible Bullet Acceleration,5,float,Acceleration rate of the bullet
Boss 2-Alpha Invincible Bullet Maximum Speed,10,float,Maximum speed of boss's bullet
Boss 2-Alpha Invincible Bullet Lifespan,3,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 2-Beta Variables,,,
Boss Pattern 2-Beta Initial Lag,7,float,Initial lag duration (seconds)
Boss Pattern 2-Beta Minimum Initial Lag,0,float,Minimum initial lag duration (seconds)
Boss Pattern 2-Beta Approach Speed,10,float,Boss approach speed towards the player
Boss Pattern 2-Beta Approach Acceleration,70,float,Boss approach speed acceleration
Boss Pattern 2-Beta Approach Distance,5,float,Distance kept by boss from player during the pattern
Boss Pattern 2-Beta Approach Ratio,0.3,float,Boss will move to fix the distance only when the player moves in or out of this range
Boss Pattern 2-Beta Spread Angle,30,float,Angle within which the bullets will be fired (degrees)
Boss Pattern 2-Beta Bullet Count,30,int,How many bullets within the cone range
Boss Pattern 2-Beta Fire Rate,12,float,Bullets per second
Boss Pattern 2-Beta Ending Lag,1.5,float,Ending lag duration (seconds)
,,,
#Boss Pattern 2-Beta Bullet Stats,,,
Boss 2-Beta Bullet Damage,10,float,Base damage of the bullet
Boss 2-Beta Bullet Damage Against Projectile,10,float,Base damage of the bullet (against Projectiles)
Boss 2-Beta Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 2-Beta Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 2-Beta Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 2-Beta Bullet Initial Speed,15,float,Initial Speed of boss's bullet
Boss 2-Beta Bullet Acceleration,5,float,Acceleration rate of the bullet
Boss 2-Beta Bullet Maximum Speed,30,float,Maximum speed of boss's bullet
Boss 2-Beta Bullet Lifespan,2,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 2-Gamma Variables,,,
Boss Pattern 2-Gamma Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 2-Gamma Fire Rate,15,float,Patterns per second
Boss Pattern 2-Gamma Repeat Count,20,int,How many times this pattern will repeat
Boss Pattern 2-Gamma Ending Lag,3,float,Ending lag duration (seconds)
Boss Pattern 2-Gamma Direction Count,8,int,Number of directions for bullets per pattern
Boss Pattern 2-Gamma Delta Angle,12,float,Difference of angle for next pattern
,,,
#Boss Pattern 2-Gamma Bullet Stats,,,
Boss 2-Gamma Bullet Damage,10,float,Base damage of the bullet
Boss 2-Gamma Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 2-Gamma Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 2-Gamma Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 2-Gamma Bullet Is Invincible,FALSE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 2-Gamma Bullet Initial Speed,5,float,Initial Speed of boss's bullet
Boss 2-Gamma Bullet Acceleration,5,float,Acceleration rate of the bullet
Boss 2-Gamma Bullet Maximum Speed,7,float,Maximum speed of boss's bullet
Boss 2-Gamma Bullet Lifespan,2.5,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 2-Delta Variables,,,
Boss Pattern 2-Delta Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 2-Delta Fire Rate,0.5,float,Patterns per second
Boss Pattern 2-Delta Repeat Count,5,int,How many times this pattern will repeat
Boss Pattern 2-Delta Ending Lag,4,float,Ending lag duration (seconds)
,,,
